mode,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,prev_latent_baseline_cos,initial_noise_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,0.002,1,0.002 0.002,2,0.8892824649810791,-0.0007310686632990837,0.041483324021101,0.6129024028778076,-0.0007310686632990837,0.6130359768867493,-0.8900135336443782,-0.8477991409599781,0.7547773122787476
A1_causal,0.002,3,0.002 0.002 0.002 0.002,2,0.8892824649810791,0.0018447907641530037,0.04411160200834274,0.6128936409950256,0.0018447907641530037,0.6130279302597046,-0.8874376742169261,-0.8451708629727364,0.7556328773498535
A1_causal,0.002,5,0.002 0.002 0.002 0.002 0.002 0.002,2,0.8892824649810791,0.0010310346260666847,0.04331827536225319,0.6128965616226196,0.0010310346260666847,0.6130304932594299,-0.8882514303550124,-0.8459641896188259,0.755181610584259
A1_causal,0.1,1,0.1 0.002,2,0.8892824649810791,0.0025920141488313675,0.1058366671204567,0.6081227660179138,0.1024942547082901,0.6082826852798462,-0.786788210272789,-0.7834457978606224,0.5767196416854858
A1_causal,0.1,3,0.1 0.034031643 0.0095132449 0.002,2,0.8892824649810791,0.0010034102015197277,0.08701451122760773,0.6089668273925781,0.08459354192018509,0.6091213822364807,-0.804688923060894,-0.8022679537534714,0.7022281289100647
A1_causal,0.1,5,0.1 0.053439289 0.02684994 0.01251403 0.0053114877 0.002,2,0.8892824649810791,-0.00165685941465199,0.08137429505586624,0.6092987060546875,0.07884789258241653,0.609468936920166,-0.8104345723986626,-0.8079081699252129,0.7320296764373779
A1_causal,0.2,1,0.2 0.002,2,0.8892824649810791,-0.0007424006471410394,0.11438000947237015,0.6072989106178284,0.1114860326051712,0.6074296236038208,-0.7777964323759079,-0.774902455508709,0.5804409384727478
A1_causal,0.2,3,0.2 0.0586824 0.013257717 0.002,2,0.8892824649810791,0.0012245094403624535,0.11557397991418839,0.6064525246620178,0.11289027333259583,0.6066315770149231,-0.7763921916484833,-0.7737084850668907,0.6686435341835022
A1_causal,0.2,5,0.2 0.098362193 0.044649739 0.018328508 0.0066066377 0.002,2,0.8892824649810791,-0.0014938183594495058,0.10262393206357956,0.6071350574493408,0.10037606209516525,0.6073189377784729,-0.7889064028859138,-0.7866585329174995,0.7372835874557495
A1_causal,0.3,1,0.3 0.002,2,0.8892824649810791,-0.0023331930860877037,0.07777750492095947,0.6095237135887146,0.07613252848386765,0.6096280217170715,-0.8131499364972115,-0.8115049600601196,0.5500527620315552
A1_causal,0.3,3,0.3 0.081133566 0.016226949 0.002,2,0.8892824649810791,0.00024451850913465023,0.10536310076713562,0.606950581073761,0.10297951102256775,0.6071330308914185,-0.7863029539585114,-0.7839193642139435,0.683525800704956
A1_causal,0.3,5,0.3 0.14100742 0.060489028 0.023092868 0.0075584543 0.002,2,0.8892824649810791,0.001519478508271277,0.10923514515161514,0.6063522100448608,0.10687806457281113,0.6065525412559509,-0.782404400408268,-0.780047319829464,0.7212714552879333
A1_causal,0.5,1,0.5 0.002,2,0.8892824649810791,1.9489729311317205e-05,0.07535169273614883,0.6095511317253113,0.07432402670383453,0.609643280506134,-0.8149584382772446,-0.8139307722449303,0.5189744234085083
A1_causal,0.5,3,0.5 0.12266964 0.021107669 0.002,2,0.8892824649810791,-0.0008482519770041108,0.09719810634851456,0.6073267459869385,0.09480103850364685,0.6075690388679504,-0.7944814264774323,-0.7920843586325645,0.6833603382110596
A1_causal,0.5,5,0.5 0.22269149 0.089224105 0.031149099 0.0090225648 0.002,2,0.8892824649810791,0.002420570235699415,0.09674476832151413,0.6073112487792969,0.09421281516551971,0.6075919270515442,-0.7950696498155594,-0.792537696659565,0.7225797176361084
A1_causal,0.8,1,0.8 0.002,2,0.8892824649810791,0.0008348760893568397,0.1275276243686676,0.6041122078895569,0.1262175589799881,0.6042170524597168,-0.763064906001091,-0.7617548406124115,0.49014177918434143
A1_causal,0.8,3,0.8 0.1803376 0.027107146 0.002,2,0.8892824649810791,0.001425350084900856,0.14136719703674316,0.6021899580955505,0.13864034414291382,0.6024625897407532,-0.7506421208381653,-0.7479152679443359,0.6573136448860168
A1_causal,0.8,5,0.8 0.3401087 0.12833713 0.041349901 0.010699258 0.002,2,0.8892824649810791,-0.00250276830047369,0.08987566828727722,0.6081963181495667,0.0873916819691658,0.6085257530212402,-0.8018907830119133,-0.7994067966938019,0.7211432456970215
A1_causal,1.0,1,1 0.002,2,0.8892824649810791,0.00045514374505728483,0.16588659584522247,0.5994582176208496,0.16416598856449127,0.5995844006538391,-0.7251164764165878,-0.7233958691358566,0.47601181268692017
A1_causal,1.0,3,1 0.21688892 0.030609557 0.002,2,0.8892824649810791,0.0015105578349903226,0.1574651300907135,0.599775493144989,0.1550692319869995,0.6000218987464905,-0.7342132329940796,-0.7318173348903656,0.6705065965652466
A1_causal,1.0,5,1 0.41625082 0.15280411 0.047427303 0.011630898 0.002,2,0.8892824649810791,-0.0019608810544013977,0.1418473869562149,0.6015036702156067,0.13899728655815125,0.6018462777137756,-0.7502851784229279,-0.7474350780248642,0.7102645635604858
