layer,source,target,test_loss,loss_improvement_vs_raw,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,uv_mae_px_improvement_vs_raw,valid_fraction
6,denoise_tau=0.000,future_uv,0.0219340919206539,0.03853885977749076,0.0219340919206539,0.1251272618770599,0.1032462626695633,29.219741821289062,0.02799773884969398,0.4775000135103861
6,denoise_tau=0.900,future_uv,0.0227205449094374,0.004065402200011916,0.0227205449094374,0.1279278695583343,0.1071965898076693,29.78097661336263,0.009328118485893579,0.4775000135103861
6,raw_no_denoise,future_uv,0.022813290109237,0.0,0.022813290109237,0.1279373387495676,0.1075553993384043,30.06139284769694,0.0,0.4775000135103861
6,denoise_tau=0.450,future_uv,0.0237898188332716,-0.042805256030966125,0.0237898188332716,0.1303432365258534,0.1053142661849657,29.21768074035645,0.02806630123943604,0.4775000135103861
6,denoise_tau=0.750,future_uv,0.023834861939152,-0.04477967995950616,0.023834861939152,0.1312946488459904,0.1094635903835296,30.334731801350912,-0.0090926909155147,0.4775000135103861
6,denoise_tau=0.600,future_uv,0.0244824190934499,-0.07316476388195645,0.0244824190934499,0.1325061281522115,0.1105694562196731,31.03308080037435,-0.03232345079951453,0.4775000135103861
6,denoise_tau=0.100,future_uv,0.024483710899949,-0.07322138905495496,0.024483710899949,0.131162816286087,0.104139457643032,29.07662925720215,0.032758415269844514,0.4775000135103861
6,denoise_tau=0.200,future_uv,0.02467594469587,-0.08164778415187104,0.02467594469587,0.1323708335558573,0.109680850803852,30.751334635416665,-0.02295109182782204,0.4775000135103861
6,denoise_tau=0.300,future_uv,0.0248906121899684,-0.09105754017875316,0.0248906121899684,0.1324682593345642,0.1104695171117782,30.970101420084635,-0.03022842544227997,0.4775000135103861
14,denoise_tau=0.600,future_uv,0.0200222454965114,0.11200790639147092,0.0200222454965114,0.1198991417884826,0.096595719953378,26.621685791015626,0.06278834804049148,0.4775000135103861
14,denoise_tau=0.450,future_uv,0.0211209641148646,0.06327943353521095,0.0211209641148646,0.1233693013588587,0.1021130457520484,28.14985885620117,0.00898929060492063,0.4775000135103861
14,denoise_tau=0.300,future_uv,0.0211568704495827,0.06168697771672201,0.0211568704495827,0.123768796523412,0.1003018622597058,27.408449045817058,0.03509048940291648,0.4775000135103861
14,denoise_tau=0.100,future_uv,0.0215555887669324,0.04400371070028666,0.0215555887669324,0.1251831144094467,0.1017682120203971,28.076058197021485,0.011587429514998077,0.4775000135103861
14,denoise_tau=0.750,future_uv,0.0217826642096042,0.03393285237521282,0.0217826642096042,0.1242307394742965,0.1010672032833099,27.93032709757487,0.01671786661527857,0.4775000135103861
14,denoise_tau=0.000,future_uv,0.0221928602705399,0.01574054427451892,0.0221928602705399,0.1268164604902267,0.1036440740029017,28.392666625976563,0.00044128681559642676,0.4775000135103861
14,denoise_tau=0.900,future_uv,0.0222011853009462,0.015371326886732314,0.0222011853009462,0.1273810158173243,0.1017933025956153,28.28857676188151,0.004105751727645196,0.4775000135103861
14,raw_no_denoise,future_uv,0.0225477745135625,0.0,0.0225477745135625,0.1272894322872161,0.1024545813600222,28.405201466878257,0.0,0.4775000135103861
14,denoise_tau=0.200,future_uv,0.0247051602850357,-0.0956806522158331,0.0247051602850357,0.1324556758006413,0.1080656553308169,29.7571657816569,-0.047595660124259136,0.4775000135103861
27,denoise_tau=0.600,future_uv,0.0201700653880834,0.1411662131917145,0.0201700653880834,0.1199922174215316,0.0974863201379776,27.27629000345866,0.049873843878196135,0.4775000135103861
27,denoise_tau=0.450,future_uv,0.0206664562225341,0.1200300784353002,0.0206664562225341,0.1199690957864125,0.0946046804388364,26.646417872111,0.0718144372261079,0.4775000135103861
27,denoise_tau=0.300,future_uv,0.0226426899433135,0.0358827909883318,0.0226426899433135,0.1264911333719889,0.1008319646120071,28.46466318766276,0.008478755125183859,0.4775000135103861
27,denoise_tau=0.900,future_uv,0.022781425093611,0.029975500545742988,0.022781425093611,0.127030865351359,0.1019575913747151,28.48932800292969,0.007619595535736449,0.4775000135103861
27,raw_no_denoise,future_uv,0.0234854120761156,0.0,0.0234854120761156,0.1276434650023778,0.1013935605684916,28.708071899414065,0.0,0.4775000135103861
27,denoise_tau=0.200,future_uv,0.0244323171675205,-0.04031886212326207,0.0244323171675205,0.131217285990715,0.1060138260324796,29.580123138427734,-0.030376517171516036,0.4775000135103861
27,denoise_tau=0.000,future_uv,0.0251070429881413,-0.06904843341773342,0.0251070429881413,0.1325576136509577,0.1061707943677902,29.781204477945963,-0.03738086564266268,0.4775000135103861
27,denoise_tau=0.100,future_uv,0.0260488742341597,-0.10915125311559311,0.0260488742341597,0.1357815295457839,0.1076401725411415,30.0254145304362,-0.04588753419727303,0.4775000135103861
27,denoise_tau=0.750,future_uv,0.0267300181090831,-0.138154102744794,0.0267300181090831,0.136522247393926,0.1087256669998169,30.644096883138022,-0.06743834941292144,0.4775000135103861
