target,source,layer,epoch,train_loss,val_loss,val_uv_mse_norm,val_uv_rmse_norm,val_uv_mae_norm,val_uv_mae_px,val_valid_fraction
future_uv,raw_no_denoise,6,0.0,0.08246014728627549,0.029984904062393663,0.029984904062393663,0.15127807407529203,0.1175427682749875,32.8064836088594,0.50244755636562
future_uv,raw_no_denoise,6,1.0,0.018593194366694432,0.026580940827831523,0.026580940827831523,0.14294559472090715,0.11349149829857832,32.4603070879316,0.50244755636562
future_uv,raw_no_denoise,6,2.0,0.013656734988923818,0.024092229083180428,0.024092229083180428,0.13611443768014442,0.10682833799115428,30.837878860793747,0.50244755636562
future_uv,raw_no_denoise,6,3.0,0.011693296730342896,0.026718880512289232,0.026718880512289232,0.14341453853603844,0.11696096598268389,33.67409760801942,0.50244755636562
future_uv,raw_no_denoise,6,4.0,0.010732341525576177,0.027647424827922474,0.027647424827922474,0.14579562957470232,0.1152252816445344,33.36974673504596,0.50244755636562
future_uv,raw_no_denoise,6,5.0,0.011002758905303254,0.02437343181377941,0.02437343181377941,0.1366003599617031,0.1073459376405169,30.843820985380585,0.50244755636562
future_uv,raw_no_denoise,6,6.0,0.009975160211851028,0.026753183818988866,0.026753183818988866,0.1435700997814432,0.11277343040996499,32.68509551361724,0.50244755636562
future_uv,raw_no_denoise,6,7.0,0.00949849352223018,0.026792473101115728,0.026792473101115728,0.14345056266634615,0.11321422624421286,32.71726891044136,0.50244755636562
future_uv,raw_no_denoise,6,8.0,0.008744398813279495,0.024870232437978257,0.024870232437978257,0.1383332264173281,0.1062661897052418,30.482541571130287,0.50244755636562
future_uv,raw_no_denoise,6,9.0,0.008448359072559296,0.02410617989155796,0.02410617989155796,0.13617611108543157,0.10498486427994042,29.81182551884151,0.50244755636562
future_uv,raw_no_denoise,6,10.0,0.008140381099583122,0.02506451578354919,0.02506451578354919,0.1388180572669823,0.10921557091332816,31.212393300516624,0.50244755636562
future_uv,raw_no_denoise,6,11.0,0.007699719150631076,0.02797693566425697,0.02797693566425697,0.14663654263619777,0.11370614337754416,32.75418008124078,0.50244755636562
future_uv,raw_no_denoise,6,12.0,0.007611576320816949,0.02610803214455401,0.02610803214455401,0.1413308413295479,0.1091879016452736,31.07054500979977,0.50244755636562
current_uv,raw_no_denoise,6,0.0,0.07431392485109191,0.03128188030494677,0.03128188030494677,0.1549339820663412,0.124155175644201,35.85115069942874,0.5122377630713937
