target,source,layer,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
future_uv,raw_no_denoise,6,val,0.024092229083180428,0.024092229083180428,0.13611443768014442,0.10682833799115428,30.837878860793747,0.50244755636562
future_uv,raw_no_denoise,6,test,0.022813290109237036,0.022813290109237036,0.12793733874956767,0.10755539933840434,30.06139284769694,0.4775000135103861
current_uv,raw_no_denoise,6,val,0.02311460445862967,0.02311460445862967,0.1325293173948368,0.10296643619145547,29.668754484270004,0.5122377630713937
current_uv,raw_no_denoise,6,test,0.02029151034851869,0.02029151034851869,0.12007258037726085,0.09827607969443003,27.396951293945314,0.49375000794728596
future_uv,raw_no_denoise,14,val,0.02347935150032277,0.02347935150032277,0.13410444964062085,0.10344133609449947,29.69765803197047,0.50244755636562
future_uv,raw_no_denoise,14,test,0.022547774513562522,0.022547774513562522,0.12728943228721618,0.10245458136002222,28.405201466878257,0.4775000135103861
current_uv,raw_no_denoise,14,val,0.02492037548364459,0.02492037548364459,0.13773528397916915,0.10682962412809159,30.775091731464947,0.5122377630713937
current_uv,raw_no_denoise,14,test,0.02554553747177124,0.02554553747177124,0.13497221966584524,0.11317012359698614,30.95293795267741,0.49375000794728596
future_uv,raw_no_denoise,27,val,0.020403537899255753,0.020403537899255753,0.12382768521775732,0.09691194257327726,27.88234134487339,0.50244755636562
future_uv,raw_no_denoise,27,test,0.023485412076115608,0.023485412076115608,0.12764346500237783,0.10139356056849162,28.708071899414062,0.4775000135103861
current_uv,raw_no_denoise,27,val,0.02211773253560483,0.02211773253560483,0.13037019478274392,0.10398640801439753,29.747045410262956,0.5122377630713937
current_uv,raw_no_denoise,27,test,0.025243884573380154,0.025243884573380154,0.1327936053276062,0.10304303963979085,29.331968943277996,0.49375000794728596
future_uv,denoise_tau=0.900,6,val,0.025169553326351658,0.025169553326351658,0.13952523407402573,0.11034572937271812,31.841096517922995,0.50244755636562
future_uv,denoise_tau=0.900,6,test,0.022720544909437496,0.022720544909437496,0.12792786955833435,0.10719658980766932,29.78097661336263,0.4775000135103861
current_uv,denoise_tau=0.900,6,val,0.023725080492717404,0.023725080492717404,0.1353784677657214,0.1025595215859113,29.644601648504082,0.5122377630713937
current_uv,denoise_tau=0.900,6,test,0.027388149624069533,0.027388149624069533,0.13847344319025676,0.11779686907927195,32.73322359720866,0.49375000794728596
future_uv,denoise_tau=0.900,14,val,0.024502681646417904,0.024502681646417904,0.1374845000413748,0.10910212446551223,31.470212522920196,0.50244755636562
future_uv,denoise_tau=0.900,14,test,0.022201185300946235,0.022201185300946235,0.12738101581732433,0.10179330259561539,28.28857676188151,0.4775000135103861
current_uv,denoise_tau=0.900,14,val,0.024979712636945966,0.024979712636945966,0.13832529066325902,0.11008866652325316,31.78607367135428,0.5122377630713937
current_uv,denoise_tau=0.900,14,test,0.025929475327332814,0.025929475327332814,0.13603099683920541,0.1098129098614057,30.43410441080729,0.49375000794728596
future_uv,denoise_tau=0.900,27,val,0.02405162499501155,0.02405162499501155,0.13489445804299174,0.11181111717140758,31.525721329909103,0.50244755636562
future_uv,denoise_tau=0.900,27,test,0.02278142509361108,0.02278142509361108,0.12703086535135905,0.10195759137471518,28.48932800292969,0.4775000135103861
current_uv,denoise_tau=0.900,27,val,0.02389180061726512,0.02389180061726512,0.13457365829002607,0.11004570189055864,30.91658521532179,0.5122377630713937
current_uv,denoise_tau=0.900,27,test,0.02554104377826055,0.02554104377826055,0.13420280814170837,0.10861807068188985,30.722919464111328,0.49375000794728596
future_uv,denoise_tau=0.750,6,val,0.025239267992181378,0.025239267992181378,0.13961402748848176,0.11007496401980206,31.70690373774175,0.50244755636562
future_uv,denoise_tau=0.750,6,test,0.02383486193915208,0.02383486193915208,0.13129464884599049,0.10946359038352967,30.334731801350912,0.4775000135103861
current_uv,denoise_tau=0.750,6,val,0.026887042630281483,0.026887042630281483,0.1437517735924754,0.11257237435637654,32.44131573763761,0.5122377630713937
current_uv,denoise_tau=0.750,6,test,0.023603088160355886,0.023603088160355886,0.13139713406562806,0.1124253511428833,31.277641805013022,0.49375000794728596
future_uv,denoise_tau=0.750,14,val,0.0227356301099583,0.0227356301099583,0.13180479688661081,0.10378393015036216,29.409674090938967,0.50244755636562
future_uv,denoise_tau=0.750,14,test,0.021782664209604265,0.021782664209604265,0.12423073947429657,0.10106720328330994,27.93032709757487,0.4775000135103861
current_uv,denoise_tau=0.750,14,val,0.0229444899107818,0.0229444899107818,0.1318025606703925,0.1023250874001663,29.149692228624037,0.5122377630713937
current_uv,denoise_tau=0.750,14,test,0.024228230863809586,0.024228230863809586,0.13127952913443247,0.1085667630036672,30.00678456624349,0.49375000794728596
future_uv,denoise_tau=0.750,27,val,0.022941079967609652,0.022941079967609652,0.13214573128656906,0.10741151119028772,30.537311607307487,0.50244755636562
future_uv,denoise_tau=0.750,27,test,0.026730018109083174,0.026730018109083174,0.136522247393926,0.1087256669998169,30.644096883138022,0.4775000135103861
current_uv,denoise_tau=0.750,27,val,0.028864176279598183,0.028864176279598183,0.14611230509264486,0.1123347261568883,32.2459464973503,0.5122377630713937
