mode,sigma_start,denoise_steps,target_latent_idx,prev_latent_baseline_cos,noisy_input_cos,latent_cos_pred_x0,latent_mse_pred_x0,cos_pred_x0_vs_baseline_diff,hidden_cos
A0_noised_true_future,0.002,0,1,0.8280352354049683,0.9999940991401672,0.9999935030937195,7.796838872309308e-06,0.17195826768875122,0.9999955892562866
A0_noised_true_future,0.05,0,1,0.8280352354049683,0.99711674451828,0.9978947639465332,0.0032847002148628235,0.16985952854156494,0.9050202965736389
A0_noised_true_future,0.1,0,1,0.8280352354049683,0.9873287081718445,0.9944097399711609,0.009698843583464622,0.16637450456619263,0.7726403474807739
A0_noised_true_future,0.2,0,1,0.8280352354049683,0.9405633211135864,0.9877952933311462,0.029847560450434685,0.15976005792617798,0.6807998418807983
A0_noised_true_future,0.3,0,1,0.8280352354049683,0.8505680561065674,0.9775081872940063,0.06332813203334808,0.14947295188903809,0.61873459815979
A0_noised_true_future,0.5,0,1,0.8280352354049683,0.5697717666625977,0.9554451704025269,0.1465686410665512,0.1274099349975586,0.5720776319503784
A0_noised_true_future,0.8,0,1,0.8280352354049683,0.17091882228851318,0.8345624208450317,0.3287460207939148,0.0065271854400634766,0.5326290130615234
A0_noised_true_future,1.0,0,1,0.8280352354049683,0.00010187446605414152,0.13472816348075867,0.4703300893306732,-0.6933070719242096,0.5065615773200989
A0_noised_true_future,2.0,0,1,0.8280352354049683,-0.32492953538894653,-0.9105204939842224,1.577181100845337,-1.7385557293891907,0.47602716088294983
A0_noised_true_future,5.0,0,1,0.8280352354049683,-0.48497962951660156,-0.8337354063987732,3.159485340118408,-1.6617706418037415,-0.11557237058877945
