mode,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,prev_latent_baseline_cos,initial_noise_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,hidden_cos
A1_causal,0.002,1,0.002 0.002,3,0.938575267791748,-0.0003039298753719777,0.04186086729168892,0.6741634011268616,-0.0003039298753719777,0.6743037700653076,-0.93887919766712,-0.8967144005000591,0.7534872889518738
A1_causal,0.002,3,0.002 0.002 0.002 0.002,3,0.938575267791748,0.0008314154110848904,0.043081194162368774,0.6741589307785034,0.0008314154110848904,0.6743000149726868,-0.9377438523806632,-0.8954940736293793,0.7538173198699951
A1_causal,0.002,5,0.002 0.002 0.002 0.002 0.002 0.002,3,0.938575267791748,0.0017600158462300897,0.044140640646219254,0.6741558313369751,0.0017600158462300897,0.6742969751358032,-0.936815251945518,-0.8944346271455288,0.7539348006248474
A1_causal,0.002,10,0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002,3,0.938575267791748,-0.0006622479995712638,0.04157679155468941,0.6741641163825989,-0.0006622479995712638,0.6743049621582031,-0.9392375157913193,-0.8969984762370586,0.7536033391952515
A1_causal,0.002,20,0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002,3,0.938575267791748,-0.001972845057025552,0.0403197705745697,0.6741685271263123,-0.001972845057025552,0.6743091940879822,-0.9405481128487736,-0.8982554972171783,0.7539726495742798
A1_causal,0.002,35,0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002,3,0.938575267791748,-0.0022949790582060814,0.039956919848918915,0.6741694808006287,-0.0022949790582060814,0.6743103265762329,-0.9408702468499541,-0.8986183479428291,0.7539160251617432
A1_causal,0.05,1,0.05 0.002,3,0.938575267791748,-0.0017790253041312099,0.034407567232847214,0.6735192537307739,0.032509975135326385,0.6736257076263428,-0.9060652926564217,-0.9041677005589008,0.5180619955062866
A1_causal,0.05,3,0.05 0.019971562 0.0069439119 0.002,3,0.938575267791748,0.002085471525788307,0.04231487214565277,0.6730913519859314,0.039977408945560455,0.673225462436676,-0.8985978588461876,-0.8962603956460953,0.724307656288147
A1_causal,0.05,5,0.05 0.029252042 0.016369045 0.0086910589 0.00433271 0.002,3,0.938575267791748,0.0011283028870821,0.041666775941848755,0.6731292009353638,0.039377517998218536,0.6732631921768188,-0.8991977497935295,-0.8969084918498993,0.7412062883377075
A1_causal,0.05,10,0.05 0.038440694 0.029252042 0.022014199 0.016369045 0.012013107 0.0086910589 0.006189741 0.00433271 0.0029752742 0.002,3,0.938575267791748,-0.005275927018374205,0.03325558826327324,0.6736226081848145,0.031015392392873764,0.6737584471702576,-0.9075598753988743,-0.9053196795284748,0.7478492856025696
A1_causal,0.05,20,0.05 0.043895159 0.038440694 0.03357781 0.029252042 0.025413013 0.022014199 0.019012705 0.016369045 0.014046937 0.012013107 0.010237091 0.0086910589 0.0073496364 0.006189741 0.0051904222 0.00433271 0.0035994716 0.0029752742 0.0024462554 0.002,3,0.938575267791748,-0.0015842984430491924,0.03904135152697563,0.6732863187789917,0.03675316274166107,0.6734244227409363,-0.901822105050087,-0.8995339162647724,0.7510595321655273
A1_causal,0.05,35,0.05 0.046428293 0.04307755 0.039936259 0.036993394 0.034238398 0.031661169 0.029252042 0.02700178 0.024901555 0.022942936 0.021117876 0.019418696 0.017838078 0.016369045 0.015004953 0.013739481 0.012566613 0.011480631 0.010476106 0.0095478787 0.0086910589 0.0079010086 0.0071733342 0.0065038765 0.0058887014 0.0053240903 0.0048065312 0.00433271 0.0038995022 0.0035039643 0.0031433262 0.0028149829 0.0025164877 0.0022455443 0.002,3,0.938575267791748,-0.0031545350793749094,0.03715136647224426,0.6734007000923157,0.034869831055402756,0.6735403537750244,-0.9037054367363453,-0.9014239013195038,0.7570403814315796
A1_causal,0.1,1,0.1 0.002,3,0.938575267791748,0.0030619832687079906,0.03264943137764931,0.6740735769271851,0.031797830015420914,0.6741651892662048,-0.9067774377763271,-0.9059258364140987,0.499801903963089
A1_causal,0.1,3,0.1 0.034031643 0.0095132449 0.002,3,0.938575267791748,0.0009455549879930913,0.03459389880299568,0.6741467118263245,0.033329423516988754,0.6742720007896423,-0.9052458442747593,-0.9039813689887524,0.7315738201141357
A1_causal,0.1,5,0.1 0.053439289 0.02684994 0.01251403 0.0053114877 0.002,3,0.938575267791748,-0.0015055793337523937,0.030292192474007607,0.674640953540802,0.029026798903942108,0.674774169921875,-0.9095484688878059,-0.9082830753177404,0.7596850991249084
A1_causal,0.1,10,0.1 0.073616384 0.053439289 0.038200974 0.02684994 0.018521996 0.01251403 0.0082603545 0.0053114877 0.0033152443 0.002,3,0.938575267791748,-0.00019796573906205595,0.034608591347932816,0.6743329167366028,0.033318500965833664,0.6744710803031921,-0.9052567668259144,-0.9039666764438152,0.7753926515579224
