layer,source,target,test_loss,loss_improvement_vs_raw,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,uv_mae_px_improvement_vs_raw,valid_fraction,horizon,future_step,future_step_1based
8,raw_no_denoise,future_uv,0.0120074067006415,0.0,0.0120074067006415,0.1077115041807324,0.0756508655553031,21.348533028154392,0.0,0.4409937907943567,8,1,2
8,denoise_step=007,future_uv,0.029972131123022,-1.4961369153441542,0.029972131123022,0.1722426126647439,0.1405693849174626,39.598048950574416,-0.8548369997297991,0.4409937907943567,8,1,2
8,denoise_step=001,future_uv,0.0327318969797767,-1.7259755412488849,0.0327318969797767,0.1785634255063706,0.1431986494279055,40.64530516756741,-0.9038921837844539,0.4409937907943567,8,1,2
8,denoise_step=003,future_uv,0.0359651977215617,-1.9952510661307277,0.0359651977215617,0.1868549328042853,0.1534817152141784,43.466998043020816,-1.0360648661758936,0.4409937907943567,8,1,2
8,denoise_step=005,future_uv,0.0406299437864781,-2.3837401196969057,0.0406299437864781,0.1983776747193149,0.160624250985574,45.46377723804419,-1.1295972504568192,0.4409937907943567,8,1,2
8,raw_no_denoise,future_uv,0.0096234419203785,0.0,0.0096234419203785,0.0976747598491346,0.0737526405826365,20.34225911284579,0.0,0.3995859170058746,16,3,4
8,denoise_step=007,future_uv,0.0290981431570729,-2.023673172012913,0.0290981431570729,0.1705460430857557,0.1332371525512719,37.85921334529269,-0.8611115479000676,0.3995859170058746,16,3,4
8,denoise_step=005,future_uv,0.029758247938277,-2.092266590736236,0.029758247938277,0.1723261059996504,0.1404035202156189,39.73558082343629,-0.9533514248839717,0.3995859170058746,16,3,4
8,denoise_step=003,future_uv,0.0308382985515685,-2.2044978092781586,0.0308382985515685,0.1747384030009402,0.1443627542713907,40.67284068705873,-0.9994259468150478,0.3995859170058746,16,3,4
8,denoise_step=001,future_uv,0.031759568896939,-2.3002297057236105,0.031759568896939,0.1779179046736494,0.1435043815500247,40.6496614017842,-0.9982864821594288,0.3995859170058746,16,3,4
