target,source,layer,horizon,future_step,future_step_1based,epoch,train_loss,val_loss,val_uv_mse_norm,val_uv_rmse_norm,val_uv_mae_norm,val_uv_mae_px,val_valid_fraction
future_uv,raw_no_denoise,8,8.0,1,2,0.0,0.066949402680529,0.019095145795455376,0.019095145795455376,0.11549310277147991,0.09579849284700401,27.552704728023517,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,1.0,0.010066961942110951,0.011658878049420562,0.011658878049420562,0.09274220458825706,0.06673920921695772,18.933180858864603,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,2.0,0.005296349898273674,0.011022041202928443,0.011022041202928443,0.08724298847365462,0.06363179094648112,18.19287993268269,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,3.0,0.003883260021530417,0.010876561440397638,0.010876561440397638,0.08707316188654418,0.06055336439079939,17.27027403934492,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,4.0,0.003243977385706763,0.010594729640770977,0.010594729640770977,0.08664733916521072,0.060132221049444184,17.104970998464978,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,5.0,0.0027058730235179017,0.009830301659967011,0.009830301659967011,0.08302462134730941,0.057547316954630175,16.5517707718374,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,6.0,0.002339812257205185,0.009897113579750476,0.009897113579750476,0.08305106280884261,0.05652279532692989,16.29040797496091,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,7.0,0.002059348200136928,0.00959929507972108,0.00959929507972108,0.08219757564495665,0.05719387427439673,16.38286593899079,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,8.0,0.002063033923600492,0.009838387598883919,0.009838387598883919,0.08239472200542376,0.055459265483588704,15.790899223566885,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,9.0,0.002215305620140088,0.01037207656971565,0.01037207656971565,0.08264983528478635,0.05687597561432925,16.49359644913092,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,10.0,0.002228560961255195,0.011602959029363527,0.011602959029363527,0.08900367045444063,0.06039653900193005,17.412274855769883,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,11.0,0.0022401216948412963,0.009944310937505151,0.009944310937505151,0.08289523744624666,0.05760382760952159,16.55299204650241,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,12.0,0.0017214038612000935,0.009764017522633594,0.009764017522633594,0.08094156162248671,0.055854654231657135,16.01426872891416,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,13.0,0.0015710683498675142,0.009059509934163053,0.009059509934163053,0.08006569312216928,0.05475351610302094,15.81545493827049,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,14.0,0.0016582345107395964,0.010022551121469263,0.010022551121469263,0.08132359162232601,0.05603702812867713,16.160242339875225,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,15.0,0.0016089771417651883,0.009813071639059624,0.009813071639059624,0.08181993401112872,0.05692116678643725,16.38053858155573,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,16.0,0.0013859163906305846,0.009353266246876442,0.009353266246876442,0.08018061970376802,0.05718427858857328,16.4267993853898,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,17.0,0.0013845313967227925,0.010626114229915034,0.010626114229915034,0.0844767554452195,0.05747744718806669,16.552290776880778,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,18.0,0.001241378524702158,0.009658684744743,0.009658684744743,0.08036583835966496,0.05424267331378385,15.64512013890602,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,19.0,0.0013494222292898504,0.009318037054303526,0.009318037054303526,0.0799026418126834,0.054675234942486065,15.784319714802068,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,20.0,0.0011335576181195608,0.009523311117177226,0.009523311117177226,0.08158045807262747,0.055349883691566744,16.003545807629095,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,21.0,0.0011924721123072026,0.009530346741646736,0.009530346741646736,0.08110265797231256,0.055339896240196994,15.87606082477636,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,22.0,0.0010145037577870605,0.010591391572981865,0.010591391572981865,0.08357420872624327,0.056365243753074355,16.2745767586738,0.4216027868334009
future_uv,raw_no_denoise,8,8.0,1,2,23.0,0.0010982842427779852,0.009584650815909125,0.009584650815909125,0.08175705085128858,0.05647400400572122,16.302539034587582,0.4216027868334009
future_uv,raw_no_denoise,8,16.0,3,4,0.0,0.05186454231535479,0.019485195920208812,0.019485195920208812,0.11621917895842927,0.0889588905439975,25.111549470482803,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,1.0,0.00916388967487195,0.013333032013141009,0.013333032013141009,0.09438454084591583,0.07085068534267903,20.33433479880622,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,2.0,0.0057327516376605965,0.013868640282415244,0.013868640282415244,0.09349496683384899,0.07078746920419071,20.20470315155667,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,3.0,0.003906278100543711,0.012798432151232084,0.012798432151232084,0.0874420581482844,0.06531320974386527,18.68759013717598,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,4.0,0.0031191840866925595,0.010770116437823619,0.010770116437823619,0.08475770754577391,0.06345042720021686,18.022438394898735,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,5.0,0.0028618972200454983,0.014467439511206766,0.014467439511206766,0.09059861441262923,0.06784862901639024,19.382226189669833,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,6.0,0.0026040162609701862,0.01173808390294114,0.01173808390294114,0.08692226127984216,0.06488706712783006,18.45275713757771,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,7.0,0.002671273264538085,0.011469501072300747,0.011469501072300747,0.08579173651669915,0.06609256792722679,18.840845569916304,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,8.0,0.0025429781406386847,0.012685512418887912,0.012685512418887912,0.08546959590621112,0.06394698420208506,18.15196755040398,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,9.0,0.0019948882120121247,0.012263159007190983,0.012263159007190983,0.08464799208715817,0.06284355100906269,17.947564862746393,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,10.0,0.001651591146339172,0.011484871346678728,0.011484871346678728,0.08424333501152875,0.0627529039355936,17.914265755576956,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,11.0,0.00147118440686754,0.012665719128917993,0.012665719128917993,0.08563858671730404,0.06385735557365915,18.256705493461794,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,12.0,0.0015192811207598968,0.01354430923530449,0.01354430923530449,0.08811486270992598,0.06591806607483156,19.022067495339424,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,13.0,0.0015281051519735944,0.013163000225975382,0.013163000225975382,0.08895874954111069,0.0643137363840271,18.416981118896697,0.37456446117640374
future_uv,raw_no_denoise,8,16.0,3,4,14.0,0.0015839656256981607,0.012826446200419178,0.012826446200419178,0.08880812677356839,0.06650483122789902,19.075182020871896,0.37456446117640374
