mode,guidance_scale,negative_prompt,future_latent_slots,sigma_start,denoise_steps,target_latent_idx,target_latent_end,prev_latent_baseline_cos,prev_sequence_baseline_cos,noisy_input_cos,noisy_sequence_input_cos,latent_cos_pred_x0,latent_mse_pred_x0,sequence_cos_pred_x0,sequence_mse_pred_x0,cos_pred_x0_vs_baseline_diff,sequence_cos_pred_x0_vs_baseline_diff,hidden_cos,run_dir,cond_frames,future_pixel_frames,frame_start,frame_stride,cond_latent_frames,summary_target_latent_idx,latent_shape
A0_noised_true_future,1.0,,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5692898035049438,0.5692898035049438,0.9552847146987915,0.1467573344707489,0.9552847146987915,0.1467573344707489,0.12724947929382324,0.12724947929382324,0.572938859462738,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,1.0,,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.16951851546764374,0.16951851546764374,0.8363760709762573,0.3298798203468323,0.8363760709762573,0.3298798203468323,0.008340835571289062,0.008340835571289062,0.532833456993103,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,1.0,,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,0.0010555833578109741,0.0010555833578109741,0.14577504992485046,0.46924617886543274,0.14577504992485046,0.46924617886543274,-0.6822601854801178,-0.6822601854801178,0.5076719522476196,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,1.0,,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.32631716132164,-0.32631716132164,-0.9112839698791504,1.576723337173462,-0.9112839698791504,1.576723337173462,-1.7393192052841187,-1.7393192052841187,0.47118234634399414,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5686600208282471,0.5686600208282471,0.9456291794776917,0.14912809431552887,0.9456291794776917,0.14912809431552887,0.11759394407272339,0.11759394407272339,0.5732353925704956,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.17133890092372894,0.17133890092372894,0.8052101135253906,0.32309430837631226,0.8052101135253906,0.32309430837631226,-0.022825121879577637,-0.022825121879577637,0.5342103242874146,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.0013579303631559014,-0.0013579303631559014,0.15778996050357819,0.4668443500995636,0.15778996050357819,0.4668443500995636,-0.6702452749013901,-0.6702452749013901,0.501030445098877,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,3.0,,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.32758912444114685,-0.32758912444114685,-0.8890631198883057,1.5559858083724976,-0.8890631198883057,1.5559858083724976,-1.717098355293274,-1.717098355293274,0.4669335186481476,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5694094896316528,0.5694094896316528,0.9241849780082703,0.1541689932346344,0.9241849780082703,0.1541689932346344,0.096149742603302,0.096149742603302,0.5722469687461853,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.17143183946609497,0.17143183946609497,0.7460236549377441,0.3241153955459595,0.7460236549377441,0.3241153955459595,-0.08201158046722412,-0.08201158046722412,0.5348089337348938,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,0.0013434342108666897,0.0013434342108666897,0.14844858646392822,0.46900951862335205,0.14844858646392822,0.46900951862335205,-0.67958664894104,-0.67958664894104,0.5043946504592896,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,5.0,,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.3241760730743408,-0.3241760730743408,-0.8602637052536011,1.5406854152679443,-0.8602637052536011,1.5406854152679443,-1.6882989406585693,-1.6882989406585693,0.47139573097229004,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,7.0,,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5686968564987183,0.5686968564987183,0.9052960276603699,0.15862718224525452,0.9052960276603699,0.15862718224525452,0.07726079225540161,0.07726079225540161,0.5707230567932129,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,7.0,,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.16971662640571594,0.16971662640571594,0.6752337217330933,0.3269282877445221,0.6752337217330933,0.3269282877445221,-0.152801513671875,-0.152801513671875,0.53336501121521,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,7.0,,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,9.204173693433404e-05,9.204173693433404e-05,0.12313131988048553,0.4792422652244568,0.12313131988048553,0.4792422652244568,-0.7049039155244827,-0.7049039155244827,0.5035551190376282,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,7.0,,1,2.0,0,1,2,0.8280352354049683,0.8280352354049683,-0.3283337950706482,-0.3283337950706482,-0.8266702890396118,1.5596959590911865,-0.8266702890396118,1.5596959590911865,-1.65470552444458,-1.65470552444458,0.472247838973999,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_empty,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.5,0,1,2,0.8280352354049683,0.8280352354049683,0.5692898035049438,0.5692898035049438,0.9552847146987915,0.1467573344707489,0.9552847146987915,0.1467573344707489,0.12724947929382324,0.12724947929382324,0.572938859462738,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,0.8,0,1,2,0.8280352354049683,0.8280352354049683,0.16951851546764374,0.16951851546764374,0.8363760709762573,0.3298798203468323,0.8363760709762573,0.3298798203468323,0.008340835571289062,0.008340835571289062,0.532833456993103,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
A0_noised_true_future,1.0,/data/repos/cosmos_causal_probe/negative_prompt_quality.txt,1,1.0,0,1,2,0.8280352354049683,0.8280352354049683,0.0010555833578109741,0.0010555833578109741,0.14577504992485046,0.46924617886543274,0.14577504992485046,0.46924617886543274,-0.6822601854801178,-0.6822601854801178,0.5076719522476196,/data/repos/cosmos_causal_probe/outputs/cfg_sequence_sweep_small/cond_1_slots_1_neg_quality,1,4,0,1,1,1,1x16x2x88x160
