target,source,layer,epoch,train_loss,val_loss,val_xyz_rmse_m,val_uv_mae_norm,val_depth_mae_m,val_velocity_mae_m_per_frame,val_contact_acc,val_success_acc,val_time_to_contact_acc,val_time_to_contact_mae_bucket
future,raw_no_denoise,6,0.0,1.3510369171901626,0.99114349838737,0.15012805903708185,0.1261870136836192,0.10300436084503894,0.07401739253656014,0.6930070077622688,0.9419580606313852,0.6940559473904696,1.050699301532932
future,raw_no_denoise,6,1.0,0.8815447882730134,0.8817503302247374,0.13787580911929792,0.13527059669678027,0.0973389096610196,0.056839433218632544,0.7849650462190588,0.9419580606313852,0.6835664352336963,1.1153846245545607
future,raw_no_denoise,6,2.0,0.7747063025761998,0.8128187652234431,0.12518613457262934,0.1267168008155756,0.09180919299800913,0.04902187148695226,0.7982517568381516,0.9419580606313852,0.7010489543834766,1.0104895113231418
future,raw_no_denoise,6,3.0,0.7323493703942471,0.8299949360894157,0.12797051668167114,0.1300738240247006,0.07340390813517404,0.0464644321872221,0.7912587598487214,0.9419580606313852,0.6923076939749551,1.0961538553237915
future,raw_no_denoise,6,4.0,0.7045040476827457,0.7921646124833114,0.13293691281672124,0.12344538644477204,0.06802941749354342,0.044534262686551036,0.8153846293062597,0.9419580606313852,0.7097902160424453,0.9965035015052849
future,raw_no_denoise,6,5.0,0.6634131181558223,0.7910222723767474,0.1353010178862752,0.1225105108289452,0.0735553472817361,0.04255120672441862,0.799300706886745,0.9419580606313852,0.70454546079769,1.0192307742325577
future,raw_no_denoise,6,6.0,0.6363463586129049,0.8092325042177747,0.13243935231145446,0.12646139345385812,0.07411373349336478,0.04149096532093061,0.8076923201967786,0.9419580606313852,0.697552453804683,1.0472028009541385
future,raw_no_denoise,6,7.0,0.6215057624752518,0.7830600034106862,0.1325205362343288,0.1237943266238366,0.07324265230160493,0.042791466691068834,0.8090909152597814,0.9419580606313852,0.7202797231974302,0.9510489539666609
future,raw_no_denoise,6,8.0,0.5865705164859958,0.7689658678494967,0.1304028208230759,0.11653382940725847,0.07628504744359663,0.0400955158096927,0.8090909190111227,0.9426573639983064,0.6958041974714586,0.9842657409347855
future,raw_no_denoise,6,9.0,0.5753949857207258,0.8054267301426067,0.1286239399985,0.12122871679859562,0.0630259281480229,0.04219672375625664,0.8129370691892984,0.9444056157465581,0.6905594438939662,1.047202803038217
future,raw_no_denoise,6,10.0,0.5585318186219483,0.768377259061053,0.12847229327772047,0.11637610488838249,0.06367048498738062,0.03845086342075488,0.8293706445427208,0.9426573506602041,0.7167832230354523,0.940559445561229
future,raw_no_denoise,6,11.0,0.524285645649609,0.7928437994910287,0.12959251662234325,0.11920590052654693,0.06626877800880612,0.03785472467437491,0.8000000281767412,0.9437062990415347,0.7167832197009266,0.9650349667022279
future,raw_no_denoise,6,12.0,0.5126815585176836,0.7854375797551829,0.12557408026048353,0.11677347967674682,0.06232579224384748,0.040409502814282905,0.8003496569353383,0.945104905775377,0.7097902147919981,0.9370629395638312
future,raw_no_denoise,6,13.0,0.48191559717082527,0.7871571604188505,0.12659595302351706,0.11083111714024643,0.06692603543088153,0.03957722052098154,0.8185314907060637,0.9500000160057228,0.7185314731164412,0.900349654934623
future,raw_no_denoise,6,14.0,0.4834656896920556,0.8165657845410433,0.12260909524414089,0.1168797153692979,0.05783036820121579,0.037596119997593075,0.8003496652716523,0.9500000160057228,0.7132867182885017,0.9475524542214987
future,raw_no_denoise,6,15.0,0.4577175070951273,0.7747503444031402,0.12255816192893715,0.12159136792162915,0.06389122031681188,0.0357244841077111,0.8300699462423792,0.9493007043024877,0.7307692353542035,0.8636363682213363
future,raw_no_denoise,6,16.0,0.43768829818423166,0.8133360647655034,0.11925072895063386,0.11772705010184041,0.061785470407742724,0.03491930301477025,0.8031468616498934,0.9493007226423784,0.7132867162044232,0.9353146919837365
future,raw_no_denoise,6,17.0,0.434101452071401,0.8228517053844212,0.12751836949711912,0.11830061632436473,0.07356823446763146,0.03420537619011386,0.808391613560123,0.9486014009355666,0.7010489556339238,0.9790209836059517
future,raw_no_denoise,6,18.0,0.41238120726925237,0.8750365530694282,0.12230862927186739,0.11786081240727352,0.05769837574733721,0.036611094133003605,0.8017482615851023,0.9510489610525278,0.6853146882323952,0.973776230445275
current,raw_no_denoise,6,0.0,0.5495319848812917,0.32876194898898786,0.12687917710184218,0.14242895572752387,0.0797199081186648,,0.7290209802714261,0.9947552447552448,,
current,raw_no_denoise,6,1.0,0.30984485673380424,0.2939224041008449,0.12827862986734698,0.13158009269020773,0.09131172372327818,,0.7832167882185715,0.9947552447552448,,
current,raw_no_denoise,6,2.0,0.27947603706475144,0.2924526450517294,0.13272414080329709,0.11996637857877292,0.08104637009905769,,0.7884615417960641,0.9947552447552448,,
current,raw_no_denoise,6,3.0,0.26255223714107623,0.30021246767544246,0.12847742636303802,0.12295940330812147,0.06748393412444975,,0.7552447602465436,0.9947552447552448,,
current,raw_no_denoise,6,4.0,0.2515673568147692,0.282741221723023,0.12032391902033265,0.12852370968231788,0.07518851074513856,,0.8059440588617658,0.9947552447552448,,
current,raw_no_denoise,6,5.0,0.23947745503117937,0.2722399714109781,0.11172616231691587,0.10707992680006094,0.06803502142429352,,0.7744755273932343,0.9947552447552448,,
current,raw_no_denoise,6,6.0,0.2302057746113563,0.27592825431090134,0.1181297397071665,0.11972342535749182,0.07302317106640423,,0.7814685360535042,0.9947552447552448,,
current,raw_no_denoise,6,7.0,0.22133823494709082,0.2728638175900999,0.11650641919016004,0.11439642205938592,0.07798358730294487,,0.781468538971214,0.9947552447552448,,
current,raw_no_denoise,6,8.0,0.21398992869225178,0.2765219419986218,0.11567771122172162,0.1256020655790409,0.08933971837892399,,0.7832167907194658,0.9947552447552448,,
current,raw_no_denoise,6,9.0,0.19902059583218543,0.26291092792591014,0.1157204640078378,0.11620434806063458,0.05588738409268273,,0.7832167890522029,0.9947552447552448,,
current,raw_no_denoise,6,10.0,0.1908598632041476,0.2600983589679211,0.11172455288730301,0.11878911702782957,0.05473327144355207,,0.8269230827584967,0.9947552447552448,,
current,raw_no_denoise,6,11.0,0.19260385690996748,0.2801793696997049,0.11793067759567208,0.12378151652279433,0.051897632049305455,,0.7832167907194658,0.9947552447552448,,
current,raw_no_denoise,6,12.0,0.17888028136040765,0.29386868572735286,0.1167013490950311,0.11542617258700458,0.05203067063243239,,0.7762237837264588,0.9947552447552448,,
current,raw_no_denoise,6,13.0,0.1684687793769492,0.2603171255205061,0.10828355204808962,0.10987992511762605,0.055023949046234984,,0.7989510564537315,0.9947552447552448,,
