layer,source,target,test_loss,loss_improvement_vs_raw,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,uv_mae_px_improvement_vs_raw,valid_fraction,horizon,future_step,future_step_1based
8,raw_no_denoise,future_uv,0.0120074067006415,0.0,0.0120074067006415,0.1077115041807324,0.0756508655553031,21.348533028154392,0.0,0.4409937907943567,8,1,2
8,denoise_step=018,future_uv,0.035310178131297,-1.9406997707015736,0.035310178131297,0.1867472673486725,0.1509919650929808,43.051340983767936,-1.01659481365731,0.4409937907943567,8,1,2
8,denoise_step=026,future_uv,0.0366784352963447,-2.05465086765031,0.0366784352963447,0.1899980346732011,0.1528724974665335,43.46484063821797,-1.0359638098269632,0.4409937907943567,8,1,2
8,denoise_step=010,future_uv,0.0388265060526984,-2.2335463452423974,0.0388265060526984,0.1942678055654648,0.1601665557418057,44.97675100764873,-1.106784149914821,0.4409937907943567,8,1,2
8,denoise_step=022,future_uv,0.0404216803795432,-2.366395541293996,0.0404216803795432,0.1983380030462707,0.1616923747657495,45.92346969351759,-1.1511299925364347,0.4409937907943567,8,1,2
8,denoise_step=014,future_uv,0.0448895194114612,-2.738485797192408,0.0448895194114612,0.2090427629325701,0.1731506460510178,49.425896180589255,-1.3151893441767875,0.4409937907943567,8,1,2
8,raw_no_denoise,future_uv,0.0096234419203785,0.0,0.0096234419203785,0.0976747598491346,0.0737526405826365,20.34225911284579,0.0,0.3995859170058746,16,3,4
8,denoise_step=010,future_uv,0.0297994184969128,-2.0965447439143223,0.0297994184969128,0.1723891960352844,0.1406204664065477,39.50295606656598,-0.9419158829621107,0.3995859170058746,16,3,4
8,denoise_step=014,future_uv,0.0316266045938429,-2.2864129960477793,0.0316266045938429,0.1768208456459006,0.1421575814362145,39.98142533865034,-0.9654368335817111,0.3995859170058746,16,3,4
8,denoise_step=022,future_uv,0.0336132327376191,-2.4928493376616183,0.0336132327376191,0.1817128162823355,0.14653514088064,41.40308816882148,-1.0353239991263377,0.3995859170058746,16,3,4
8,denoise_step=026,future_uv,0.0337682740674132,-2.5089601357603515,0.0337682740674132,0.1831179483645204,0.1482012822576191,42.20328273733704,-1.0746605626848191,0.3995859170058746,16,3,4
8,denoise_step=018,future_uv,0.0347698690990606,-2.613038805318946,0.0347698690990606,0.1848926451018631,0.1484352083063027,41.7589519334876,-1.0528178164399415,0.3995859170058746,16,3,4
8,raw_no_denoise,future_uv,0.0081487962731216,0.0,0.0081487962731216,0.0892447619612172,0.0657305970680022,18.284553974064732,0.0,0.364389237286388,24,5,6
8,denoise_step=022,future_uv,0.0251883025364044,-2.0910458050702245,0.0251883025364044,0.1584631076880863,0.1308173768330311,36.45191409819861,-0.9935905546234769,0.364389237286388,24,5,6
8,denoise_step=018,future_uv,0.0280907235337772,-2.447223687065666,0.0280907235337772,0.1674719212835126,0.1374020804159389,38.56294329467521,-1.1090447899015667,0.364389237286388,24,5,6
8,denoise_step=026,future_uv,0.0284595454755715,-2.4924845979330588,0.0284595454755715,0.1684799098388502,0.1373667334732802,38.58166535497946,-1.1100687175473165,0.364389237286388,24,5,6
8,denoise_step=014,future_uv,0.0290746371691765,-2.5679671198895653,0.0290746371691765,0.1703053752951493,0.1397039622808835,39.24438322552983,-1.1463134009828757,0.364389237286388,24,5,6
8,denoise_step=010,future_uv,0.0300549626365828,-2.688270221666678,0.0300549626365828,0.1730625454498374,0.1437866697955575,40.3629346969952,-1.207488066389095,0.364389237286388,24,5,6
8,raw_no_denoise,future_uv,0.0056380223401862,0.0,0.0056380223401862,0.0748397466219483,0.0554606013663313,15.098136171297504,0.0,0.2691511393950839,36,8,9
8,denoise_step=026,future_uv,0.019663705939801,-2.487695641012943,0.019663705939801,0.1369507456233042,0.1074302116289395,29.88453525835436,-0.979352611428073,0.2691511393950839,36,8,9
8,denoise_step=014,future_uv,0.0204059888047646,-2.619352243306414,0.0204059888047646,0.1409262641184571,0.1121355575310764,31.264079392079733,-1.0707244283247817,0.2691511393950839,36,8,9
8,denoise_step=010,future_uv,0.0207865225309293,-2.6868464288920872,0.0207865225309293,0.1422058796475392,0.1145383972620618,31.807536747144617,-1.1067194245878325,0.2691511393950839,36,8,9
8,denoise_step=022,future_uv,0.0208213481720436,-2.693023353886881,0.0208213481720436,0.1417830825222205,0.1100355226924453,30.54037718841995,-1.0227912135591348,0.2691511393950839,36,8,9
8,denoise_step=018,future_uv,0.0224244404607307,-2.9773592773649984,0.0224244404607307,0.1487513135493912,0.1181060105068589,32.93692116905196,-1.1815223280120561,0.2691511393950839,36,8,9
8,raw_no_denoise,future_uv,0.0040581050062818,0.0,0.0040581050062818,0.0634404816057371,0.050104396228773,13.701391770972968,0.0,0.2256728760574175,45,10,11
8,denoise_step=018,future_uv,0.0154881274508886,-2.8165911002582584,0.0154881274508886,0.1234794436466126,0.1000349523025269,27.3757228890808,-0.9980249705053713,0.2256728760574175,45,10,11
8,denoise_step=014,future_uv,0.0184866712924177,-3.555493577371951,0.0184866712924177,0.1351903806870521,0.1096573917823795,30.164324505728963,-1.2015518576465698,0.2256728760574175,45,10,11
8,denoise_step=026,future_uv,0.0197663452615093,-3.870831393202421,0.0197663452615093,0.1397074201832646,0.1141266092565489,31.81795769448606,-1.3222427492288684,0.2256728760574175,45,10,11
8,denoise_step=010,future_uv,0.0199287780223117,-3.910858144740629,0.0199287780223117,0.1399833555053726,0.1134157529405432,30.973990991248847,-1.2606455978339863,0.2256728760574175,45,10,11
8,denoise_step=022,future_uv,0.0206787455402792,-4.095665466583356,0.0206787455402792,0.1433848504817757,0.1172126831783764,32.353481379601774,-1.3613280986639709,0.2256728760574175,45,10,11
12,raw_no_denoise,future_uv,0.009529515699817,0.0,0.009529515699817,0.097132199777456,0.0750874529205123,21.36398770745003,0.0,0.4409937907943567,8,1,2
12,denoise_step=010,future_uv,0.0341855473045113,-2.5873331217837006,0.0341855473045113,0.1834835072605259,0.1485892849247401,41.92008443796857,-0.9621844485217634,0.4409937907943567,8,1,2
12,denoise_step=026,future_uv,0.0362815537584432,-2.8072820173998907,0.0362815537584432,0.1884291755733529,0.1549754003930536,43.61393966042971,-1.041469984801606,0.4409937907943567,8,1,2
12,denoise_step=014,future_uv,0.0386640408093699,-3.0572933638288027,0.0386640408093699,0.1934454553677675,0.1612843643434299,45.8385568148848,-1.1455992880439647,0.4409937907943567,8,1,2
12,denoise_step=022,future_uv,0.0393932230354095,-3.1338116517470023,0.0393932230354095,0.1951641226900783,0.162568777182581,45.6458203254526,-1.1365777283954825,0.4409937907943567,8,1,2
12,denoise_step=018,future_uv,0.0413869137549869,-3.343023828144978,0.0413869137549869,0.1997725312939341,0.1676758715948456,47.40832365521733,-1.2190765274914077,0.4409937907943567,8,1,2
